Generation,Position,Frequency,Effect,Origin
1,610140,0.872450,2.152129,1
2,610140,0.874150,2.152129,1
3,610140,0.871000,2.152129,1
4,610140,0.875550,2.152129,1
5,610140,0.877650,2.152129,1
6,610140,0.874650,2.152129,1
7,610140,0.878200,2.152129,1
8,610140,0.877200,2.152129,1
9,610140,0.874150,2.152129,1
10,610140,0.873200,2.152129,1
11,610140,0.866100,2.152129,1
12,610140,0.867400,2.152129,1
13,610140,0.864700,2.152129,1
14,610140,0.864950,2.152129,1
15,610140,0.862000,2.152129,1
16,610140,0.857100,2.152129,1
17,610140,0.856850,2.152129,1
18,610140,0.854700,2.152129,1
19,610140,0.852500,2.152129,1
20,610140,0.848650,2.152129,1
21,610140,0.850150,2.152129,1
22,610140,0.849250,2.152129,1
23,610140,0.848300,2.152129,1
24,610140,0.846550,2.152129,1
25,610140,0.842550,2.152129,1
26,610140,0.842000,2.152129,1
27,610140,0.841500,2.152129,1
28,610140,0.837000,2.152129,1
29,610140,0.843500,2.152129,1
30,610140,0.842000,2.152129,1
31,610140,0.845000,2.152129,1
32,610140,0.837000,2.152129,1
33,610140,0.842500,2.152129,1
34,610140,0.842000,2.152129,1
35,610140,0.847500,2.152129,1
36,610140,0.854500,2.152129,1
37,610140,0.857000,2.152129,1
38,610140,0.848500,2.152129,1
39,610140,0.841000,2.152129,1
40,610140,0.852000,2.152129,1
41,610140,0.856500,2.152129,1
42,610140,0.856000,2.152129,1
43,610140,0.867000,2.152129,1
44,610140,0.863500,2.152129,1
45,610140,0.862000,2.152129,1
46,610140,0.855500,2.152129,1
47,610140,0.856000,2.152129,1
48,610140,0.853000,2.152129,1
49,610140,0.851000,2.152129,1
50,610140,0.852500,2.152129,1
51,610140,0.848700,2.152129,1
52,610140,0.848100,2.152129,1
53,610140,0.843900,2.152129,1
54,610140,0.838100,2.152129,1
55,610140,0.836100,2.152129,1
56,610140,0.835700,2.152129,1
57,610140,0.835600,2.152129,1
58,610140,0.833500,2.152129,1
59,610140,0.823600,2.152129,1
60,610140,0.829800,2.152129,1
61,610140,0.827900,2.152129,1
62,610140,0.815900,2.152129,1
63,610140,0.807900,2.152129,1
64,610140,0.805200,2.152129,1
65,610140,0.804600,2.152129,1
66,610140,0.794300,2.152129,1
67,610140,0.795400,2.152129,1
68,610140,0.787500,2.152129,1
69,610140,0.781100,2.152129,1
70,610140,0.781000,2.152129,1
71,610140,0.781100,2.152129,1
72,610140,0.785500,2.152129,1
73,610140,0.790000,2.152129,1
74,610140,0.790500,2.152129,1
75,610140,0.783500,2.152129,1
76,610140,0.786700,2.152129,1
77,610140,0.793400,2.152129,1
78,610140,0.789100,2.152129,1
79,610140,0.789900,2.152129,1
80,610140,0.785550,2.152129,1
81,610140,0.783000,2.152129,1
82,610140,0.782200,2.152129,1
83,610140,0.784800,2.152129,1
84,610140,0.784850,2.152129,1
85,610140,0.787250,2.152129,1
86,610140,0.788350,2.152129,1
87,610140,0.792400,2.152129,1
88,610140,0.792250,2.152129,1
89,610140,0.798100,2.152129,1
90,610140,0.799950,2.152129,1
91,610140,0.796900,2.152129,1
92,610140,0.802850,2.152129,1
93,610140,0.798600,2.152129,1
94,610140,0.801300,2.152129,1
95,610140,0.806350,2.152129,1
96,610140,0.811050,2.152129,1
97,610140,0.813000,2.152129,1
98,610140,0.813450,2.152129,1
99,610140,0.815850,2.152129,1
100,610140,0.817650,2.152129,1
101,610140,0.829000,2.152129,1
102,610140,0.812000,2.152129,1
103,610140,0.810000,2.152129,1
104,610140,0.817000,2.152129,1
105,610140,0.804000,2.152129,1
106,610140,0.778000,2.152129,1
107,610140,0.769000,2.152129,1
108,610140,0.779000,2.152129,1
109,610140,0.773500,2.152129,1
110,610140,0.768000,2.152129,1
111,610140,0.769500,2.152129,1
112,610140,0.786500,2.152129,1
113,610140,0.779500,2.152129,1
114,610140,0.780000,2.152129,1
115,610140,0.789500,2.152129,1
116,610140,0.785500,2.152129,1
117,610140,0.787500,2.152129,1
118,610140,0.788000,2.152129,1
119,610140,0.778000,2.152129,1
120,610140,0.769500,2.152129,1
121,610140,0.778500,2.152129,1
