Generation,Position,Frequency,Effect,Origin
1,915217,0.921650,0.512916,1
1,549130,0.780900,0.396039,1
1,1037246,0.722300,2.373807,1
1,793188,0.702300,0.688486,1
1,305072,0.630000,1.556883,1
1,183043,0.612900,2.078096,1
1,671159,0.435050,1.885420,1
1,427101,0.427050,0.219771,1
1,61014,0.075850,2.152129,1
1,1159275,0.013050,0.404206,1
2,915217,0.922350,0.512916,1
2,549130,0.781250,0.396039,1
2,1037246,0.723050,2.373807,1
2,793188,0.695500,0.688486,1
2,305072,0.630000,1.556883,1
2,183043,0.610750,2.078096,1
2,671159,0.440200,1.885420,1
2,427101,0.424100,0.219771,1
2,61014,0.077850,2.152129,1
2,1159275,0.013300,0.404206,1
3,915217,0.923200,0.512916,1
3,549130,0.782150,0.396039,1
3,1037246,0.719550,2.373807,1
3,793188,0.693550,0.688486,1
3,305072,0.621500,1.556883,1
3,183043,0.609200,2.078096,1
3,671159,0.446100,1.885420,1
3,427101,0.420400,0.219771,1
3,61014,0.078800,2.152129,1
3,1159275,0.013350,0.404206,1
4,915217,0.920200,0.512916,1
4,549130,0.780750,0.396039,1
4,1037246,0.723700,2.373807,1
4,793188,0.697200,0.688486,1
4,305072,0.617250,1.556883,1
4,183043,0.609100,2.078096,1
4,671159,0.442800,1.885420,1
4,427101,0.418000,0.219771,1
4,61014,0.078500,2.152129,1
4,1159275,0.014050,0.404206,1
5,915217,0.918300,0.512916,1
5,549130,0.782000,0.396039,1
5,1037246,0.723000,2.373807,1
5,793188,0.697850,0.688486,1
5,183043,0.615100,2.078096,1
5,305072,0.614850,1.556883,1
5,671159,0.441500,1.885420,1
5,427101,0.419200,0.219771,1
5,61014,0.079500,2.152129,1
5,1159275,0.014050,0.404206,1
6,915217,0.920400,0.512916,1
6,549130,0.782150,0.396039,1
6,1037246,0.726300,2.373807,1
6,793188,0.697900,0.688486,1
6,305072,0.620050,1.556883,1
6,183043,0.619800,2.078096,1
6,671159,0.435300,1.885420,1
6,427101,0.418350,0.219771,1
6,61014,0.079600,2.152129,1
6,1159275,0.012800,0.404206,1
7,915217,0.918650,0.512916,1
7,549130,0.781200,0.396039,1
7,1037246,0.729600,2.373807,1
7,793188,0.700050,0.688486,1
7,305072,0.620800,1.556883,1
7,183043,0.617600,2.078096,1
7,671159,0.439100,1.885420,1
7,427101,0.412850,0.219771,1
7,61014,0.077350,2.152129,1
7,1159275,0.012150,0.404206,1
8,915217,0.920550,0.512916,1
8,549130,0.781350,0.396039,1
8,1037246,0.728600,2.373807,1
8,793188,0.703100,0.688486,1
8,183043,0.622150,2.078096,1
8,305072,0.615050,1.556883,1
8,671159,0.440950,1.885420,1
8,427101,0.412950,0.219771,1
8,61014,0.080350,2.152129,1
8,1159275,0.012100,0.404206,1
9,915217,0.920750,0.512916,1
9,549130,0.782750,0.396039,1
9,1037246,0.736050,2.373807,1
9,793188,0.699300,0.688486,1
9,183043,0.620850,2.078096,1
9,305072,0.611400,1.556883,1
9,671159,0.442700,1.885420,1
9,427101,0.413750,0.219771,1
9,61014,0.080500,2.152129,1
9,1159275,0.011450,0.404206,1
10,915217,0.921400,0.512916,1
10,549130,0.785100,0.396039,1
10,1037246,0.731550,2.373807,1
10,793188,0.699700,0.688486,1
10,183043,0.619550,2.078096,1
10,305072,0.614350,1.556883,1
10,671159,0.445400,1.885420,1
10,427101,0.419750,0.219771,1
10,61014,0.084750,2.152129,1
10,1159275,0.011550,0.404206,1
11,915217,0.920300,0.512916,1
11,549130,0.789400,0.396039,1
11,1037246,0.733900,2.373807,1
11,793188,0.701400,0.688486,1
11,183043,0.623650,2.078096,1
11,305072,0.617400,1.556883,1
11,671159,0.448800,1.885420,1
11,427101,0.420150,0.219771,1
11,61014,0.086500,2.152129,1
11,1159275,0.010500,0.404206,1
12,915217,0.921300,0.512916,1
12,549130,0.786950,0.396039,1
12,1037246,0.734250,2.373807,1
12,793188,0.702100,0.688486,1
12,183043,0.626750,2.078096,1
12,305072,0.621750,1.556883,1
12,671159,0.450600,1.885420,1
12,427101,0.420600,0.219771,1
12,61014,0.088350,2.152129,1
12,1159275,0.010950,0.404206,1
13,915217,0.920250,0.512916,1
13,549130,0.791100,0.396039,1
13,1037246,0.736600,2.373807,1
13,793188,0.700950,0.688486,1
13,183043,0.627200,2.078096,1
13,305072,0.620900,1.556883,1
13,671159,0.448450,1.885420,1
13,427101,0.422000,0.219771,1
13,61014,0.087100,2.152129,1
13,1159275,0.011050,0.404206,1
14,915217,0.919900,0.512916,1
14,549130,0.788600,0.396039,1
14,1037246,0.736150,2.373807,1
14,793188,0.706700,0.688486,1
14,183043,0.624800,2.078096,1
14,305072,0.621200,1.556883,1
14,671159,0.446100,1.885420,1
14,427101,0.418000,0.219771,1
14,61014,0.086450,2.152129,1
14,1159275,0.010800,0.404206,1
15,915217,0.923100,0.512916,1
15,549130,0.782650,0.396039,1
15,1037246,0.733000,2.373807,1
15,793188,0.703800,0.688486,1
15,305072,0.624500,1.556883,1
15,183043,0.616500,2.078096,1
15,671159,0.446950,1.885420,1
15,427101,0.415600,0.219771,1
15,61014,0.085400,2.152129,1
15,1159275,0.012050,0.404206,1
16,915217,0.920850,0.512916,1
16,549130,0.786950,0.396039,1
16,1037246,0.738300,2.373807,1
16,793188,0.704000,0.688486,1
16,305072,0.627100,1.556883,1
16,183043,0.616200,2.078096,1
16,671159,0.447050,1.885420,1
16,427101,0.415800,0.219771,1
16,61014,0.089150,2.152129,1
16,1159275,0.011800,0.404206,1
17,915217,0.917850,0.512916,1
17,549130,0.790450,0.396039,1
17,1037246,0.738050,2.373807,1
17,793188,0.705950,0.688486,1
