Generation,Position,Frequency,Effect,Origin
1,610140,0.284450,3.048570,1
2,610140,0.283200,3.048570,1
3,610140,0.281600,3.048570,1
4,610140,0.278900,3.048570,1
5,610140,0.278450,3.048570,1
6,610140,0.279450,3.048570,1
7,610140,0.281100,3.048570,1
8,610140,0.277650,3.048570,1
9,610140,0.282500,3.048570,1
10,610140,0.276000,3.048570,1
11,610140,0.270300,3.048570,1
12,610140,0.260750,3.048570,1
13,610140,0.257600,3.048570,1
14,610140,0.253750,3.048570,1
15,610140,0.253050,3.048570,1
16,610140,0.249150,3.048570,1
17,610140,0.246950,3.048570,1
18,610140,0.241250,3.048570,1
19,610140,0.232450,3.048570,1
20,610140,0.230600,3.048570,1
21,610140,0.228550,3.048570,1
22,610140,0.227400,3.048570,1
23,610140,0.228850,3.048570,1
24,610140,0.228450,3.048570,1
25,610140,0.226550,3.048570,1
26,610140,0.228950,3.048570,1
27,610140,0.228500,3.048570,1
28,610140,0.232900,3.048570,1
29,610140,0.236500,3.048570,1
30,610140,0.236750,3.048570,1
31,610140,0.242050,3.048570,1
32,610140,0.248450,3.048570,1
33,610140,0.254700,3.048570,1
34,610140,0.257100,3.048570,1
35,610140,0.256800,3.048570,1
36,610140,0.256750,3.048570,1
37,610140,0.256950,3.048570,1
38,610140,0.262800,3.048570,1
39,610140,0.261500,3.048570,1
40,610140,0.263500,3.048570,1
41,610140,0.269750,3.048570,1
42,610140,0.269700,3.048570,1
43,610140,0.271300,3.048570,1
44,610140,0.273950,3.048570,1
45,610140,0.275250,3.048570,1
46,610140,0.278500,3.048570,1
47,610140,0.274300,3.048570,1
48,610140,0.278250,3.048570,1
49,610140,0.273650,3.048570,1
50,610140,0.270950,3.048570,1
51,610140,0.268800,3.048570,1
52,610140,0.264900,3.048570,1
53,610140,0.261650,3.048570,1
54,610140,0.261000,3.048570,1
55,610140,0.257000,3.048570,1
56,610140,0.253250,3.048570,1
57,610140,0.255400,3.048570,1
58,610140,0.249300,3.048570,1
59,610140,0.250500,3.048570,1
60,610140,0.248700,3.048570,1
61,610140,0.245700,3.048570,1
62,610140,0.244200,3.048570,1
63,610140,0.245850,3.048570,1
64,610140,0.242550,3.048570,1
65,610140,0.243400,3.048570,1
66,610140,0.246950,3.048570,1
67,610140,0.248750,3.048570,1
68,610140,0.250800,3.048570,1
69,610140,0.244800,3.048570,1
70,610140,0.250900,3.048570,1
71,610140,0.251550,3.048570,1
72,610140,0.248300,3.048570,1
73,610140,0.244000,3.048570,1
74,610140,0.240450,3.048570,1
75,610140,0.231450,3.048570,1
