Generation,Position,Frequency,Effect,Origin
1,653737,0.997350,2.789679,1
1,1176727,0.979450,0.592739,1
1,1141861,0.960050,2.374371,1
1,1072129,0.947550,0.870042,1
1,374809,0.933050,1.012883,1
1,984964,0.924850,0.242127,1
1,305077,0.886700,1.164380,1
1,1211593,0.881800,0.369020,1
1,671170,0.870150,0.922467,1
1,26149,0.867300,0.101983,1
1,740902,0.852200,0.135250,1
1,706036,0.837150,1.263818,1
1,775768,0.813550,1.638228,1
1,1002397,0.791900,0.075194,1
1,584005,0.775300,0.512121,1
1,322510,0.746350,1.320872,1
1,200479,0.734550,0.221578,1
1,61015,0.729650,0.285951,1
1,1089562,0.721400,3.516298,1
1,531706,0.710000,1.077599,1
1,1106995,0.680150,1.105654,1
1,252778,0.596200,3.644215,1
1,339943,0.588200,1.263612,1
1,95881,0.586300,0.869496,1
1,810634,0.583750,1.160179,1
1,618871,0.574800,0.410040,1
1,932665,0.554000,0.944271,1
1,723469,0.540950,0.463296,1
1,409675,0.538200,1.797365,1
1,130747,0.502500,2.521813,1
1,1037263,0.498250,0.243273,1
1,1194160,0.487400,0.952050,1
1,845500,0.436000,2.094910,1
1,566572,0.394800,0.194983,1
1,915232,0.374550,2.397695,1
1,165613,0.371750,2.562669,1
1,113314,0.368350,1.142787,1
1,601438,0.353500,3.117695,1
1,950098,0.352150,0.547342,1
1,461974,0.318900,1.043795,1
1,235345,0.307950,0.064207,1
1,758335,0.307950,0.249772,1
1,636304,0.307700,1.119498,1
1,862933,0.273350,2.974441,1
1,357376,0.270200,0.010557,1
1,1054696,0.252150,0.217771,1
1,270211,0.245250,0.097437,1
1,1124428,0.232900,0.831067,1
1,8716,0.218000,0.088816,1
1,43582,0.209100,0.299654,1
1,392242,0.198650,0.842403,1
1,1159294,0.190000,0.732797,1
1,1019830,0.171900,0.357971,1
1,897799,0.170300,1.052361,1
1,496840,0.144200,0.894979,1
1,479407,0.135150,0.002022,1
1,217912,0.126100,0.702125,1
1,444541,0.122850,0.568177,1
1,688603,0.118450,3.115992,1
1,183046,0.116750,3.317165,1
1,427108,0.107100,0.137884,1
1,828067,0.095350,1.598834,1
1,880366,0.093850,0.091562,1
1,148180,0.043450,0.899229,1
1,514273,0.030050,0.142778,1
1,287644,0.028150,3.544628,1
1,549139,0.027750,1.325023,1
1,78448,0.026150,0.153675,1
1,967531,0.018550,0.817386,1
1,793201,0.008400,0.478050,1
2,653737,0.997100,2.789679,1
2,1176727,0.980250,0.592739,1
2,1141861,0.959800,2.374371,1
2,1072129,0.947100,0.870042,1
2,374809,0.933950,1.012883,1
2,984964,0.923300,0.242127,1
2,305077,0.888700,1.164380,1
2,1211593,0.883900,0.369020,1
2,26149,0.869000,0.101983,1
2,671170,0.868550,0.922467,1
2,740902,0.850750,0.135250,1
2,706036,0.838150,1.263818,1
2,775768,0.814700,1.638228,1
2,1002397,0.791950,0.075194,1
2,584005,0.774250,0.512121,1
2,322510,0.748300,1.320872,1
2,200479,0.735800,0.221578,1
2,61015,0.733800,0.285951,1
2,1089562,0.722750,3.516298,1
2,531706,0.705200,1.077599,1
2,1106995,0.677550,1.105654,1
2,252778,0.589650,3.644215,1
2,339943,0.588650,1.263612,1
2,95881,0.586450,0.869496,1
2,810634,0.581000,1.160179,1
2,618871,0.572500,0.410040,1
2,932665,0.553850,0.944271,1
2,409675,0.545900,1.797365,1
2,723469,0.540450,0.463296,1
2,130747,0.500850,2.521813,1
2,1037263,0.496750,0.243273,1
2,1194160,0.486900,0.952050,1
2,845500,0.433850,2.094910,1
2,566572,0.399050,0.194983,1
2,915232,0.376750,2.397695,1
2,165613,0.375450,2.562669,1
2,113314,0.365250,1.142787,1
2,950098,0.353400,0.547342,1
2,601438,0.349550,3.117695,1
2,461974,0.316000,1.043795,1
