Generation,Position,Frequency,Effect,Origin
1,610140,0.715950,0.295933,1
2,610140,0.712200,0.295933,1
3,610140,0.714450,0.295933,1
4,610140,0.714900,0.295933,1
5,610140,0.717300,0.295933,1
6,610140,0.721200,0.295933,1
7,610140,0.720500,0.295933,1
8,610140,0.720850,0.295933,1
9,610140,0.720600,0.295933,1
10,610140,0.721400,0.295933,1
11,610140,0.719000,0.295933,1
12,610140,0.716800,0.295933,1
13,610140,0.717400,0.295933,1
14,610140,0.718650,0.295933,1
15,610140,0.719250,0.295933,1
16,610140,0.716750,0.295933,1
17,610140,0.713250,0.295933,1
18,610140,0.715500,0.295933,1
19,610140,0.713200,0.295933,1
20,610140,0.715450,0.295933,1
21,610140,0.713600,0.295933,1
22,610140,0.715150,0.295933,1
23,610140,0.719900,0.295933,1
24,610140,0.720950,0.295933,1
25,610140,0.721200,0.295933,1
26,610140,0.722300,0.295933,1
27,610140,0.720500,0.295933,1
28,610140,0.718300,0.295933,1
29,610140,0.715900,0.295933,1
30,610140,0.715750,0.295933,1
31,610140,0.713300,0.295933,1
32,610140,0.711600,0.295933,1
33,610140,0.717600,0.295933,1
34,610140,0.723600,0.295933,1
35,610140,0.725050,0.295933,1
36,610140,0.724050,0.295933,1
37,610140,0.728000,0.295933,1
38,610140,0.731650,0.295933,1
39,610140,0.732100,0.295933,1
40,610140,0.733450,0.295933,1
41,610140,0.741200,0.295933,1
42,610140,0.743750,0.295933,1
43,610140,0.746000,0.295933,1
44,610140,0.736800,0.295933,1
45,610140,0.735350,0.295933,1
46,610140,0.732850,0.295933,1
47,610140,0.729100,0.295933,1
48,610140,0.727650,0.295933,1
49,610140,0.723250,0.295933,1
50,610140,0.717900,0.295933,1
51,610140,0.721800,0.295933,1
52,610140,0.730700,0.295933,1
53,610140,0.728500,0.295933,1
54,610140,0.727250,0.295933,1
55,610140,0.723300,0.295933,1
56,610140,0.716150,0.295933,1
57,610140,0.713800,0.295933,1
58,610140,0.715200,0.295933,1
59,610140,0.712350,0.295933,1
60,610140,0.715850,0.295933,1
61,610140,0.714650,0.295933,1
62,610140,0.714000,0.295933,1
63,610140,0.713200,0.295933,1
64,610140,0.716550,0.295933,1
65,610140,0.718250,0.295933,1
66,610140,0.720350,0.295933,1
67,610140,0.718350,0.295933,1
68,610140,0.716550,0.295933,1
69,610140,0.717200,0.295933,1
70,610140,0.714050,0.295933,1
71,610140,0.716300,0.295933,1
72,610140,0.716650,0.295933,1
73,610140,0.716950,0.295933,1
74,610140,0.715750,0.295933,1
75,610140,0.710900,0.295933,1
76,610140,0.712550,0.295933,1
77,610140,0.713500,0.295933,1
78,610140,0.718950,0.295933,1
79,610140,0.719550,0.295933,1
80,610140,0.721350,0.295933,1
81,610140,0.725050,0.295933,1
82,610140,0.721450,0.295933,1
83,610140,0.715750,0.295933,1
84,610140,0.714050,0.295933,1
85,610140,0.710950,0.295933,1
86,610140,0.705650,0.295933,1
87,610140,0.705450,0.295933,1
88,610140,0.706050,0.295933,1
89,610140,0.709550,0.295933,1
90,610140,0.704600,0.295933,1
91,610140,0.703700,0.295933,1
92,610140,0.707550,0.295933,1
93,610140,0.705450,0.295933,1
94,610140,0.708800,0.295933,1
95,610140,0.707400,0.295933,1
96,610140,0.711500,0.295933,1
