Generation,Position,Frequency,Effect,Heterozygosity,Origin
1,1159294,0.998500,1.046743,0.002995,1
1,357376,0.981200,1.574775,0.036893,1
1,810634,0.964150,2.929279,0.069130,1
1,1176727,0.951950,0.546643,0.091482,1
1,496840,0.947250,0.803880,0.099935,1
1,601438,0.938500,1.766219,0.115435,1
1,305077,0.935950,0.218547,0.119895,1
1,95881,0.874400,0.144584,0.219649,1
1,688603,0.855100,1.844533,0.247808,1
1,479407,0.847900,1.262182,0.257931,1
1,793201,0.845750,0.720814,0.260914,1
1,845500,0.824050,0.090187,0.289983,1
1,1037263,0.790300,0.162818,0.331452,1
1,671170,0.778950,2.608204,0.344374,1
1,1106995,0.772550,1.442591,0.351433,1
1,1054696,0.771700,1.791630,0.352358,1
1,78448,0.770300,0.378731,0.353876,1
1,584005,0.763550,1.123276,0.361083,1
1,775768,0.738350,1.069867,0.386379,1
1,1194160,0.720200,0.044000,0.403024,1
1,1072129,0.701500,0.361126,0.418795,1
1,549139,0.694450,4.999618,0.424378,1
1,706036,0.668750,0.719633,0.443047,1
1,287644,0.660250,2.144602,0.448640,1
1,374809,0.644600,0.816434,0.458182,1
1,427108,0.576900,0.222143,0.488173,1
1,932665,0.571500,0.306065,0.489775,1
1,636304,0.520950,0.680462,0.499122,1
1,165613,0.504250,0.184616,0.499964,1
1,618871,0.498050,0.192723,0.499992,1
1,444541,0.497600,0.359138,0.499988,1
1,322510,0.491700,2.582566,0.499862,1
1,461974,0.490550,1.440650,0.499821,1
1,183046,0.486000,0.006981,0.499608,1
1,531706,0.483700,0.115984,0.499469,1
1,1089562,0.481300,0.745964,0.499301,1
1,1019830,0.453750,0.242705,0.495722,1
1,514273,0.447750,0.590607,0.494540,1
1,43582,0.447500,0.484761,0.494488,1
1,1211593,0.431050,1.657292,0.490492,1
1,740902,0.419500,2.293053,0.487040,1
1,252778,0.403700,1.057170,0.481453,1
1,409675,0.356850,0.417286,0.459016,1
1,148180,0.351150,0.596250,0.455687,1
1,862933,0.346200,0.182475,0.452691,1
1,897799,0.340350,0.194668,0.449024,1
1,1141861,0.328500,1.092954,0.441175,1
1,217912,0.320400,1.125408,0.435488,1
1,1124428,0.296750,0.078487,0.417379,1
1,392242,0.276850,0.140556,0.400408,1
1,26149,0.263350,0.937338,0.387994,1
1,880366,0.242600,0.370399,0.367490,1
1,915232,0.225750,2.374586,0.349574,1
1,967531,0.216100,1.053481,0.338802,1
1,758335,0.196950,1.303508,0.316321,1
1,566572,0.165250,0.845625,0.275885,1
1,130747,0.135900,0.756137,0.234862,1
1,8716,0.128650,1.050229,0.224198,1
1,723469,0.126500,0.789879,0.220995,1
1,270211,0.125150,0.112700,0.218975,1
1,950098,0.112100,0.431953,0.199067,1
1,235345,0.110200,1.772893,0.196112,1
1,984964,0.102050,1.113854,0.183272,1
1,339943,0.089700,0.618184,0.163308,1
1,113314,0.057650,0.075136,0.108653,1
1,653737,0.056000,4.081389,0.105728,1
1,200479,0.050000,2.463548,0.095000,1
1,828067,0.041250,2.315475,0.079097,1
1,61015,0.009750,0.937894,0.019310,1
1,1002397,0.003200,1.087877,0.006380,1
